#ADC	chn	DSSD	X/Y	strip	gain	offset	threshold
## ADC 0 DSSD 0 maybe?
0	0	0	X	0 	1	0	0
0	1	0	X	1 	1	0	0
0	2	0	X	2 	1	0	0
0	3	0	X	3 	1	0	0
0	4	0	X	4 	1	0	0
0	5	0	X	5 	1	0	0
0	6	0	X	6 	1	0	0
0	7	0	X	7 	1	0	0
0	8	0	X	8 	1	0	0
0	9	0	X	9 	1	0	0
0	10	0	X	10	1	0	0
0	11	0	X	11	1	0	0
0	12	0	X	12	1	0	0
0	13	0	X	13	1	0	0
0	14	0	X	14	1	0	0
0	15	0	X	15	1	0	0
0	16	0	Y	0 	1	0	0
0	17	0	Y	1 	1	0	0
0	18	0	Y	2 	1	0	0
0	19	0	Y	3 	1	0	0
0	20	0	Y	4 	1	0	0
0	21	0	Y	5 	1	0	0
0	22	0	Y	6 	1	0	0
0	23	0	Y	7 	1	0	0
0	24	0	Y	8 	1	0	0
0	25	0	Y	9 	1	0	0
0	26	0	Y	10	1	0	0
0	27	0	Y	11	1	0	0
0	28	0	Y	12	1	0	0
0	29	0	Y	13	1	0	0
0	30	0	Y	14	1	0	0
0	31	0	Y	15	1	0	0
## ADC 1 DSSD 1 maybe?
1	0	1	X	0 	1	0	0
1	1	1	X	1 	1	0	0
1	2	1	X	2 	1	0	0
1	3	1	X	3 	1	0	0
1	4	1	X	4 	1	0	0
1	5	1	X	5 	1	0	0
1	6	1	X	6 	1	0	0
1	7	1	X	7 	1	0	0
1	8	1	X	8 	1	0	0
1	9	1	X	9 	1	0	0
1	10	1	X	10	1	0	0
1	11	1	X	11	1	0	0
1	12	1	X	12	1	0	0
1	13	1	X	13	1	0	0
1	14	1	X	14	1	0	0
1	15	1	X	15	1	0	0
1	16	1	Y	0 	1	0	0
1	17	1	Y	1 	1	0	0
1	18	1	Y	2 	1	0	0
1	19	1	Y	3 	1	0	0
1	20	1	Y	4 	1	0	0
1	21	1	Y	5 	1	0	0
1	22	1	Y	6 	1	0	0
1	23	1	Y	7 	1	0	0
1	24	1	Y	8 	1	0	0
1	25	1	Y	9 	1	0	0
1	26	1	Y	10	1	0	0
1	27	1	Y	11	1	0	0
1	28	1	Y	12	1	0	0
1	29	1	Y	13	1	0	0
1	30	1	Y	14	1	0	0
1	31	1	Y	15	1	0	0
